Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Passed attention
670667f0b21fd059ff0f37e3,66577bd5fa02a29c30407e81,APPROVED,Not Applicable,2024-10-09T11:24:38.179000Z,2024-10-09T11:32:25.862000Z,2024-10-09T20:34:39.912000Z,2024-10-09T11:36:00.954739Z,468,C10SMSDU,120,English,English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Yes
670667feec5316ca97bbfe6b,66f17db9bd49af3fa70da824,APPROVED,Not Applicable,2024-10-09T11:24:57.389000Z,2024-10-09T11:38:18.856000Z,2024-10-09T20:34:40.358000Z,2024-10-09T11:38:19.536185Z,802,C10SMSDU,0,English,English,58,Female,White,Canada,Canada,Canada,English,No,Part-Time,Yes
6706680101897f560cbd5e20,5f63a30a09bd340c84c6688d,APPROVED,Not Applicable,2024-10-09T11:24:59.192000Z,2024-10-09T11:37:02.894000Z,2024-10-09T20:34:40.637000Z,2024-10-09T11:37:21.250549Z,724,C10SMSDU,2045,English,English,45,Female,White,United States,United States,United States,English,Yes,Other,Yes
67066807268573ba680a5910,5fd9eb41e3d19d30b7f55934,APPROVED,Not Applicable,2024-10-09T11:25:03.482000Z,2024-10-09T11:29:53.054000Z,2024-10-09T20:34:41.308000Z,2024-10-09T11:29:53.947716Z,290,C10SMSDU,18,English,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Yes
6712774ad139d9079d15a830,5baa72a49d955f000147e406,APPROVED,Not Applicable,2024-10-18T14:57:19.709000Z,2024-10-18T15:04:03.251000Z,2024-10-18T16:57:40.718000Z,2024-10-18T15:06:37.035337Z,404,C10SMSDU,1228,English,English,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Yes
671277798ef421e52afaae74,5c1acabfa329230001ecb584,APPROVED,Not Applicable,2024-10-18T14:58:11.975000Z,2024-10-18T15:11:46.923000Z,2024-10-18T16:57:41.148000Z,2024-10-18T15:11:47.840352Z,815,C10SMSDU,656,English,English,67,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Yes
6712777c73dfa2bfa2d60ac7,5f864763a937c119197a6bed,APPROVED,Not Applicable,2024-10-18T14:58:09.361000Z,2024-10-18T15:11:20.545000Z,2024-10-18T16:57:41.488000Z,2024-10-18T15:11:21.431019Z,792,C10SMSDU,386,English,English,33,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,Yes
6712778451854dad797ac48f,5b64de377b7f8600011305fa,APPROVED,Not Applicable,2024-10-18T14:58:23.099000Z,2024-10-18T15:14:29.415000Z,2024-10-18T16:57:41.806000Z,2024-10-18T15:14:30.706342Z,967,C10SMSDU,1173,English,"English, Gaelic",34,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time,Yes
67127785f20f39705b73c8dc,60fcc362d006841f4411e1f3,APPROVED,Not Applicable,2024-10-18T14:58:20.270000Z,2024-10-18T15:05:06.478000Z,2024-10-18T16:57:42.197000Z,2024-10-18T15:06:57.598831Z,407,C10SMSDU,133,English,English,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other,Yes
6719eb38fbd59a27a7a5b223,60fcec4b65433846c6407c92,APPROVED,Not Applicable,2024-10-24T06:37:52.765000Z,2024-10-24T06:44:22.752000Z,2024-10-24T07:51:46.700000Z,2024-10-24T06:44:23.915691Z,390,C10SMSDU,115,English,English,53,Female,White,Australia,Australia,Australia,English,Yes,Full-Time,Yes
6719eb7bd96a21ac962ce49b,6700263ecd2b607a2b9775b8,APPROVED,Not Applicable,2024-10-24T06:39:05.349000Z,2024-10-24T06:45:01.277000Z,2024-10-24T07:51:47.295000Z,2024-10-24T06:48:26.654981Z,356,C10SMSDU,1,English,English,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Yes
6719eb8a058b99ad8dbca095,67178054a368314e6afa5ed4,APPROVED,Not Applicable,2024-10-24T06:44:04.346000Z,2024-10-24T06:47:53.739000Z,2024-10-24T07:51:47.533000Z,2024-10-24T06:48:40.045417Z,230,C10SMSDU,37,English,English,37,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),Yes
